as_of_date,etf_ticker,constituent_ticker,constituent_name,isin,sedol,shares_held,market_value,weight_pct,currency,sector,country,source
2026-06-16,SILJ,WPM,Wheaton Precious Metals Corp,CA9628791027,,1342209.0,166353383.46,4.36,USD,,,web_csv
2026-06-16,SILJ,WRN,Western Copper & Gold Corp,,,8430823.0,21582906.88,0.57,USD,,,web_csv
2026-06-16,SILJ,WVM CN,West Vault Mining Inc,,,18534.0,21883.5,0.0,USD,,,web_csv
2026-06-18,SILJ,AAG CN,Aftermath Silver Ltd,,,7774089.0,4158452.86,0.11,USD,,,web_csv
2026-06-18,SILJ,ABRA CN,AbraSilver Resource Corp,CA00379L3048,,4285468.0,45052277.53,1.19,USD,,,web_csv
2026-06-18,SILJ,AG,First Majestic Silver Corp,CA32076V1031,,19409479.0,360045835.45,9.47,USD,,,web_csv
2026-06-18,SILJ,AGMR CN,Silver Mountain Resources Inc,,,1832721.0,5280787.99,0.14,USD,,,web_csv
2026-06-18,SILJ,AGPXX,Invesco Government & Agency Portfolio 12/31/2031,,,10334793.35,10334793.35,0.27,USD,,,web_csv
2026-06-18,SILJ,APM CN,Andean Precious Metals Corp,CA03349X1015,,2171032.0,9724043.19,0.26,USD,,,web_csv
2026-06-18,SILJ,ARD AU,Argent Minerals Ltd,,,34104444.0,650742.38,0.02,USD,,,web_csv
2026-06-18,SILJ,ASM,Avino Silver & Gold Mines Ltd,CA0539061030,,8800425.0,60106902.75,1.58,USD,,,web_csv
2026-06-18,SILJ,AYA CN,Aya Gold & Silver Inc,CA05466C1095,,5787103.0,117426061.16,3.09,USD,,,web_csv
2026-06-18,SILJ,BMC AU,BMC Minerals Ltd,,,1335875.0,2888827.45,0.08,USD,,,web_csv
2026-06-18,SILJ,BNKR CN,Bunker Hill Mining Corp,,,419868.0,1736847.87,0.05,USD,,,web_csv
2026-06-18,SILJ,BOL SS,Boliden AB,SE0020050417,,3313880.0,205828866.79,5.42,USD,,,web_csv
2026-06-18,SILJ,BVN,Cia de Minas Buenaventura SAA,US2044481040,,5295391.0,181314187.84,4.77,USD,,,web_csv
2026-06-18,SILJ,CAD,CANADIAN DOLLAR,,,-15973977.8,-11392894.8,-0.3,USD,,,web_csv
2026-06-18,SILJ,CDE,COEUR MINING INC.,US1921085049,,6706035.0,117556793.55,3.09,USD,,,web_csv
2026-06-18,SILJ,CKG CN,Chesapeake Gold Corp,,,1036423.0,2675879.94,0.07,USD,,,web_csv
2026-06-18,SILJ,CUU CN,Copper Fox Metals Inc,,,3336102.0,1403822.97,0.04,USD,,,web_csv
2026-06-18,SILJ,Cash&Other,Cash & Other,CASH,,10513395.62,10513395.62,0.28,USD,,,web_csv
2026-06-18,SILJ,EXK,Endeavour Silver Corp,CA29258Y1034,,17652773.0,156403568.78,4.12,USD,,,web_csv
2026-06-18,SILJ,FF CN,First Mining Gold Corp,,,31119014.0,13094799.42,0.34,USD,,,web_csv
2026-06-18,SILJ,FNV,Franco-Nevada Corp,CA3518581051,,302788.0,68711680.84,1.81,USD,,,web_csv
2026-06-18,SILJ,FPC CN,Falco Resources Ltd,,,3814046.0,1550535.78,0.04,USD,,,web_csv
2026-06-18,SILJ,FRES LN,Fresnillo PLC,GB00B2QPKJ12,,722904.0,32048166.29,0.84,USD,,,web_csv
2026-06-18,SILJ,GBP,BRITISH POUNDS,,,-2371.74,-3176.59,0.0,USD,,,web_csv
2026-06-18,SILJ,GGD CN,GoGold Resources Inc,CA38045Y1025,,8330176.0,19784242.27,0.52,USD,,,web_csv
2026-06-18,SILJ,GSVR CN,Guanajuato Silver Co Ltd,,,14947617.0,5650265.32,0.15,USD,,,web_csv
2026-06-18,SILJ,HL,Hecla Mining Co,US4227041062,,21229780.0,340950266.8,8.97,USD,,,web_csv
2026-06-18,SILJ,HOC LN,Hochschild Mining PLC,GB00B1FW5029,,6121437.0,50627316.71,1.33,USD,,,web_csv
