as_of_date,etf_ticker,constituent_ticker,constituent_name,isin,sedol,shares_held,market_value,weight_pct,currency,sector,country,asset_class,instrument_type,source
2026-06-15,URA,FSY CN,FORSYS METALS CORP,,2597801,9968986.0,2996153.08,0.04,USD,,,,equity,web_csv
2026-06-15,URA,FUU CN,F3 URANIUM CORP,,BMW5VG9,39084230.0,4335078.64,0.07,USD,,,,equity,web_csv
2026-06-15,URA,GLO CN,GLOBAL ATOMIC CORP,,BF11BK3,25103348.0,12215304.05,0.18,USD,,,,equity,web_csv
2026-06-15,URA,ISO CN,ISOENERGY LTD,,BTTRKM6,2206732.0,25028947.15,0.38,USD,,,,equity,web_csv
2026-06-15,URA,KAP LI,NAC KAZATOMPROM JSC-GDR REGS,,BGXQL36,4213307.0,309678064.5,4.66,USD,,,,equity,web_csv
2026-06-15,URA,LAM CN,LARAMIDE RESOURCES,,2507952,13158353.0,6214542.9,0.09,USD,,,,equity,web_csv
2026-06-15,URA,LEU,CENTRUS ENERGY CORP-CLASS A,,BQXKDH6,1090354.0,192611034.1,2.9,USD,,,,equity,web_csv
2026-06-15,URA,LI CN,AMERICAN LITHIUM CORP,,BF4XHL9,15246694.0,5673391.45,0.09,USD,,,,equity,web_csv
2026-06-15,URA,LOT AU,LOTUS RESOURCES LTD,,BK6XLC1,13981832.0,5746786.31,0.09,USD,,,,equity,web_csv
2026-06-15,URA,MGA CN,MEGA URANIUM LTD,,2817833,21544376.0,9558490.91,0.14,USD,,,,equity,web_csv
2026-06-15,URA,NNE,NANO NUCLEAR ENERGY INC,,BPDH477,2641816.0,66256745.28,1.0,USD,,,,equity,web_csv
2026-06-15,URA,NXE CN,NEXGEN ENERGY LTD,,B987K72,38480193.0,406706823.58,6.11,USD,,,,equity,web_csv
2026-06-15,URA,OKLO,OKLO INC,,BMD78K7,7740926.0,470183845.24,7.07,USD,,,,equity,web_csv
2026-06-15,URA,PDN AU,PALADIN ENERGY LTD,,6668468,28665358.0,212481943.32,3.19,USD,,,,equity,web_csv
2026-06-15,URA,PEN AU,PENINSULA ENERGY LTD,,6486381,18945843.0,5638923.46,0.09,USD,,,,equity,web_csv
2026-06-15,URA,SASK CN,ATHA ENERGY CORP,,BNQNDF9,20247936.0,15938122.72,0.24,USD,,,,equity,web_csv
2026-06-15,URA,SLX AU,SILEX SYSTEMS LTD,,6111735,14694292.0,57688786.77,0.87,USD,,,,equity,web_csv
2026-06-15,URA,SMR,NUSCALE POWER CORP,AU000000SMR4,BNXK803,9922659.0,105577091.76,1.59,USD,,,,equity,web_csv
2026-06-15,URA,SSW SJ,SIBANYE STILLWATER LTD,ZAE000259701,BL0L913,33548454.0,90015379.12,1.35,USD,,,,equity,web_csv
2026-06-15,URA,SYH CN,SKYHARBOUR RESOURCES LTD,,BDFGHL3,12949940.0,3938405.31,0.06,USD,,,,equity,web_csv
2026-06-15,URA,U-U CN,SPROTT PHYSICAL URANIUM TR,,BNZKG52,15911020.0,309123183.66,4.65,USD,,,,equity,web_csv
2026-06-15,URA,UEC,URANIUM ENERGY CORP,,B0VLLY2,29873080.0,351606151.6,5.29,USD,,,,equity,web_csv
2026-06-15,URA,URC CN,URANIUM ROYALTY CORP,,BKMD921,7622272.0,23126718.87,0.35,USD,,,,equity,web_csv
2026-06-15,URA,URG,UR-ENERGY INC,,B0WW4L2,22723819.0,38630492.3,0.58,USD,,,,equity,web_csv
2026-06-15,URA,WUC CN,WESTERN URANIUM & VANADIUM C,,BF39VJ4,4329163.0,1951678.19,0.03,USD,,,,equity,web_csv
2026-06-15,URA,YCA LN,YELLOW CAKE PLC,,BF50RG4,15564999.0,119030769.85,1.79,USD,,,,equity,web_csv
2026-06-15,URA,,OTHER PAYABLE & RECEIVABLES,,,-85226.39,-85226.39,-0.0,USD,,,,cash,web_csv
2026-06-15,URA,,SOUTH AFRICAN RAND,,,-673258.78,-41604.13,-0.0,USD,,,,fx,web_csv
2026-06-15,URA,,CANADIAN DOLLAR,,,-0.01,-0.01,0.0,USD,,,,fx,web_csv
2026-06-15,URA,,CASH,CASH,,491508.02,491508.02,0.01,USD,,,,cash,web_csv
2026-06-17,URA,000720 KS,HYUNDAI ENGINEERING & CONST,,6450988,2142802.0,197285075.08,2.99,USD,,,,equity,web_csv
2026-06-17,URA,006360 KS,GS ENGINEERING & CONSTRUCT,,6537096,4246611.0,82658753.44,1.25,USD,,,,equity,web_csv
2026-06-17,URA,028260 KS,SAMSUNG C&T CORP,,BSXN8K7,748473.0,242400376.73,3.67,USD,,,,equity,web_csv
2026-06-17,URA,034020 KS,DOOSAN ENERBILITY CO LTD,,6294670,2391835.0,163144330.47,2.47,USD,,,,equity,web_csv
