as_of_date,etf_ticker,constituent_ticker,constituent_name,isin,sedol,shares_held,market_value,weight_pct,currency,sector,country,asset_class,instrument_type,source
2026-06-18,COPX,NDA GR,AURUBIS AG,DE0006766504,5485527,1069914.0,241723905.45,3.0,USD,,,,equity,web_csv
2026-06-18,COPX,358 HK,JIANGXI COPPER CO LTD-H,CNE1000003K3,6000305,42694801.0,223670172.7,2.78,USD,,,,equity,web_csv
2026-06-18,COPX,2099 HK,CHINA GOLD INTERNATIONAL RES,CA16890P1036,B60FNV8,10076000.0,188853087.34,2.35,USD,,,,equity,web_csv
2026-06-18,COPX,1208 HK,MMG LTD,HK1208013172,6728793,167192360.0,175988589.69,2.19,USD,,,,equity,web_csv
2026-06-18,COPX,5711 JP,MITSUBISHI MATERIALS CORP,JP3903000002,6597089,5237971.0,159587814.69,1.98,USD,,,,equity,web_csv
2026-06-18,COPX,ERO CN,ERO COPPER CORP,CA2960061091,BF02Z72,4138149.0,123298932.99,1.53,USD,,,,equity,web_csv
2026-06-18,COPX,TGB,TASEKO MINES LTD,CA8765111064,2592066,15165748.0,108283440.72,1.34,USD,,,,equity,web_csv
2026-06-18,COPX,NGEX CN,NGEX MINERALS LTD,CA62930A1021,BVBCQW5,5876736.0,108132441.86,1.34,USD,,,,equity,web_csv
2026-06-18,COPX,1258 HK,CHINA NONFERROUS MINING CORP,HK0000112026,B890GY2,54689200.0,94618355.25,1.18,USD,,,,equity,web_csv
2026-06-18,COPX,ALS CN,ALTIUS MINERALS CORPORATION,CA0209361009,2122355,1956583.0,82811289.41,1.03,USD,,,,equity,web_csv
2026-06-18,COPX,3939 HK,WANGUO GOLD GROUP LTD,KYG9430L1150,BV106D0,49601260.0,60742075.18,0.75,USD,,,,equity,web_csv
2026-06-18,COPX,ATYM LN,ATALAYA MINING COPPER SA,CY0106002112,BYZTVM8,5026205.0,58612305.37,0.73,USD,,,,equity,web_csv
2026-06-18,COPX,IE,IVANHOE ELECTRIC INC / US,US46578C1080,BPF0KH6,5122767.0,58399543.8,0.72,USD,,,,equity,web_csv
2026-06-18,COPX,DVP AU,DEVELOP GLOBAL LTD,AU0000179707,BNVQGB0,10847217.0,53424791.38,0.66,USD,,,,equity,web_csv
2026-06-18,COPX,NDM CN,NORTHERN DYNASTY MINERALS,CA66510M2040,2637848,22916540.0,48366648.39,0.6,USD,,,,equity,web_csv
2026-06-18,COPX,ASCU CN,ARIZONA SONORAN COPPER CO IN,CA04058Q1054,BMC50Y0,7174983.0,47614710.66,0.59,USD,,,,equity,web_csv
2026-06-18,COPX,AMAK AB,AL MASANE AL KOBRA MINING CO,SA15HG50KL10,BNNVLT6,2212008.0,44996885.62,0.56,USD,,,,equity,web_csv
2026-06-18,COPX,FFM AU,FIREFLY METALS LTD,AU0000313769,BPDXXB2,31198311.0,43353548.42,0.54,USD,,,,equity,web_csv
2026-06-18,COPX,FDY CN,FARADAY COPPER CORP,CA3073571034,BLNNJN8,9126684.0,37038067.44,0.46,USD,,,,equity,web_csv
2026-06-18,COPX,SLS CN,SOLARIS RESOURCES INC,CA83419D2014,BMQ5701,3895420.0,34789649.92,0.43,USD,,,,equity,web_csv
2026-06-18,COPX,OM CN,OSISKO METALS INC,CA6882741094,BYW9WY0,25007965.0,31349621.48,0.39,USD,,,,equity,web_csv
2026-06-18,COPX,1515 JP,NITTETSU MINING CO LTD,JP3680800004,6641027,1769450.0,28401839.49,0.35,USD,,,,equity,web_csv
2026-06-18,COPX,ARG CN,AMERIGO RESOURCES LTD,CA03074G1090,2855822,5845699.0,28401498.03,0.35,USD,,,,equity,web_csv
2026-06-18,COPX,CNL CN,COLLECTIVE MINING LTD,CA19425C1005,BN79Z49,1986013.0,27343810.13,0.34,USD,,,,equity,web_csv
2026-06-18,COPX,,OTHER PAYABLE & RECEIVABLES,,,14916967.1,14916967.1,0.18,USD,,,,cash,web_csv
2026-06-22,COPX,BVR AU,BELLAVISTA RESOURCES LTD,AU0000216913,BNNFYB1,2262293.0,555093.87,0.01,USD,,,,equity,web_csv
2026-06-22,COPX,,SAUDI RIYAL,,,87911.9,23415.7,0.0,USD,,,,fx,web_csv
2026-06-22,COPX,,HONG KONG DOLLAR,,,-61011.85,-7781.73,0.0,USD,,,,fx,web_csv
2026-06-22,COPX,,JAPANESE YEN,,,-18239780.0,-113069.34,-0.0,USD,,,,fx,web_csv
2026-06-22,COPX,,CASH,CASH,,-148680.16,-148680.16,-0.0,USD,,,,cash,web_csv
2026-06-22,COPX,HBM CN,HUDBAY MINERALS INC,CA4436281022,B05BDX1,15303643.0,427360070.21,5.41,USD,,,,equity,web_csv
2026-06-22,COPX,KGH PW,KGHM POLSKA MIEDZ SA,PLKGHM000017,5263251,4257301.0,419360783.92,5.31,USD,,,,equity,web_csv
2026-06-22,COPX,TECK/B CN,TECK RESOURCES LTD-CLS B,CA8787422044,2879327,6591914.0,419121270.29,5.31,USD,,,,equity,web_csv
2026-06-22,COPX,BHP AU,BHP GROUP LTD,AU000000BHP4,6144690,9496741.0,401725532.93,5.09,USD,,,,equity,web_csv
2026-06-22,COPX,FM CN,FIRST QUANTUM MINERALS LTD,CA3359341052,2347608,13384876.0,396665983.21,5.03,USD,,,,equity,web_csv
2026-06-22,COPX,ANTO LN,ANTOFAGASTA PLC,GB0000456144,0045614,7478047.0,392344318.14,4.97,USD,,,,equity,web_csv
2026-06-22,COPX,SCCO,SOUTHERN COPPER CORP,US84265V1052,2823777,2045410.0,388443813.1,4.92,USD,,,,equity,web_csv
2026-06-22,COPX,FCX,FREEPORT-MCMORAN INC,US35671D8570,2352118,5583155.0,386410157.55,4.89,USD,,,,equity,web_csv
2026-06-22,COPX,BOL SS,BOLIDEN AB,SE0020050417,BPYTZ57,6410344.0,378861622.94,4.8,USD,,,,equity,web_csv
2026-06-22,COPX,GLEN LN,GLENCORE PLC,JE00B4T3BW64,B4T3BW6,50418111.0,373717619.63,4.73,USD,,,,equity,web_csv
2026-06-22,COPX,LUN CN,LUNDIN MINING CORP,CA5503721063,2866857,12751191.0,336439706.01,4.26,USD,,,,equity,web_csv
2026-06-22,COPX,2899 HK,ZIJIN MINING GROUP CO LTD-H,CNE100000502,6725299,78857535.0,318029087.38,4.03,USD,,,,equity,web_csv
2026-06-22,COPX,5713 JP,SUMITOMO METAL MINING CO LTD,JP3402600005,6858849,5509488.0,301712903.28,3.82,USD,,,,equity,web_csv
2026-06-22,COPX,CS CN,CAPSTONE COPPER CORP,CA14071L1085,BMY5XY9,27757282.0,287536570.18,3.64,USD,,,,equity,web_csv
2026-06-22,COPX,SFR AU,SANDFIRE RESOURCES LTD,AU000000SFR8,6739739,19576368.0,284224659.66,3.6,USD,,,,equity,web_csv
2026-06-22,COPX,IVN CN,IVANHOE MINES LTD-CL A,CA46579R1047,BD73C40,33142508.0,272830849.49,3.46,USD,,,,equity,web_csv
2026-06-22,COPX,NDA GR,AURUBIS AG,DE0006766504,5485527,1069339.0,239640814.69,3.04,USD,,,,equity,web_csv
2026-06-22,COPX,358 HK,JIANGXI COPPER CO LTD-H,CNE1000003K3,6000305,42671801.0,221511951.01,2.81,USD,,,,equity,web_csv
2026-06-22,COPX,2099 HK,CHINA GOLD INTERNATIONAL RES,CA16890P1036,B60FNV8,10070500.0,184059824.75,2.33,USD,,,,equity,web_csv
2026-06-22,COPX,1208 HK,MMG LTD,HK1208013172,6728793,167102360.0,176258420.13,2.23,USD,,,,equity,web_csv
2026-06-22,COPX,5711 JP,MITSUBISHI MATERIALS CORP,JP3903000002,6597089,5235161.0,158662877.78,2.01,USD,,,,equity,web_csv
2026-06-22,COPX,ERO CN,ERO COPPER CORP,CA2960061091,BF02Z72,4135924.0,125901360.88,1.59,USD,,,,equity,web_csv
2026-06-22,COPX,NGEX CN,NGEX MINERALS LTD,CA62930A1021,BVBCQW5,5873581.0,106000041.51,1.34,USD,,,,equity,web_csv
2026-06-22,COPX,TGB,TASEKO MINES LTD,CA8765111064,2592066,15157603.0,105496916.88,1.34,USD,,,,equity,web_csv
2026-06-22,COPX,1258 HK,CHINA NONFERROUS MINING CORP,HK0000112026,B890GY2,54659700.0,98507928.29,1.25,USD,,,,equity,web_csv
2026-06-22,COPX,ALS CN,ALTIUS MINERALS CORPORATION,CA0209361009,2122355,1955528.0,85188172.13,1.08,USD,,,,equity,web_csv
2026-06-22,COPX,IE,IVANHOE ELECTRIC INC / US,US46578C1080,BPF0KH6,5120017.0,56934589.04,0.72,USD,,,,equity,web_csv
2026-06-22,COPX,ATYM LN,ATALAYA MINING COPPER SA,CY0106002112,BYZTVM8,5023505.0,56397089.99,0.71,USD,,,,equity,web_csv
2026-06-22,COPX,3939 HK,WANGUO GOLD GROUP LTD,KYG9430L1150,BV106D0,49574760.0,56021679.2,0.71,USD,,,,equity,web_csv
2026-06-22,COPX,DVP AU,DEVELOP GLOBAL LTD,AU0000179707,BNVQGB0,10841392.0,51758501.66,0.66,USD,,,,equity,web_csv
